contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
GLD270917C00205000,2026-07-14 19:55:16+00:00,205.0,178.19,176.0,180.6,0.0,0.0,,1,0.5143786355590819,True,REGULAR,USD,call
GLD270917C00220000,2026-07-13 16:04:21+00:00,220.0,161.05,162.0,166.75,0.0,0.0,,1,0.5136767382812499,True,REGULAR,USD,call
GLD270917C00250000,2026-06-29 15:52:28+00:00,250.0,133.08,134.5,139.5,0.0,0.0,5.0,6,0.45062805236816406,True,REGULAR,USD,call
GLD270917C00260000,2026-06-15 15:00:21+00:00,260.0,156.0,126.0,130.65,0.0,0.0,,1,0.43208880905151364,True,REGULAR,USD,call
GLD270917C00275000,2026-07-07 14:35:40+00:00,275.0,123.76,113.0,117.7,0.0,0.0,1.0,2,0.4068205070495606,True,REGULAR,USD,call
GLD270917C00280000,2026-07-01 16:22:31+00:00,280.0,114.25,108.5,113.45,0.0,0.0,1.0,7,0.3987486883544922,True,REGULAR,USD,call
GLD270917C00285000,2026-07-15 18:43:16+00:00,285.0,109.05,104.5,109.25,0.0,0.0,1.0,0,0.3909667837524414,True,REGULAR,USD,call
GLD270917C00290000,2026-06-25 19:36:52+00:00,290.0,102.05,100.5,105.2,0.0,0.0,,1,0.3843140182495117,True,REGULAR,USD,call
GLD270917C00295000,2026-07-07 18:48:10+00:00,295.0,106.3,96.5,101.15,0.0,0.0,1.0,3,0.3774018559265136,True,REGULAR,USD,call
GLD270917C00300000,2026-07-13 13:51:33+00:00,300.0,94.42,92.5,97.15,0.0,0.0,10.0,16,0.37067279724121094,True,REGULAR,USD,call
GLD270917C00310000,2026-06-05 16:46:01+00:00,310.0,111.75,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,call
GLD270917C00315000,2026-06-25 13:37:30+00:00,315.0,83.0,81.0,86.0,0.0,0.0,1.0,3,0.3554294194030761,True,REGULAR,USD,call
GLD270917C00320000,2026-07-07 13:40:56+00:00,320.0,90.0,77.5,81.95,0.0,0.0,,1,0.3472202729797363,True,REGULAR,USD,call
GLD270917C00325000,2026-07-14 18:37:48+00:00,325.0,76.0,73.5,78.5,0.0,0.0,2.0,43,0.34313095840454094,True,REGULAR,USD,call
GLD270917C00330000,2026-07-10 17:06:44+00:00,330.0,75.61,70.0,75.0,0.0,0.0,1.0,5,0.3382787120056152,True,REGULAR,USD,call
GLD270917C00335000,2026-07-08 17:24:15+00:00,335.0,71.02,66.5,71.5,0.0,0.0,2.0,3,0.3330755169677735,True,REGULAR,USD,call
GLD270917C00340000,2026-07-15 16:36:23+00:00,340.0,63.93,63.5,68.5,-7.169998,-10.084386,2.0,10,0.33090879058837885,True,REGULAR,USD,call
GLD270917C00345000,2026-07-15 16:36:37+00:00,345.0,60.79,60.0,65.0,1.6200027,2.7378786,4.0,3,0.324927405090332,True,REGULAR,USD,call
GLD270917C00350000,2026-07-15 16:32:20+00:00,350.0,58.17,57.0,62.0,0.15999985,0.27581427,4.0,19,0.32188330711364743,True,REGULAR,USD,call
GLD270917C00355000,2026-07-09 13:52:37+00:00,355.0,61.3,54.0,59.0,0.0,0.0,1.0,8,0.3183967086791991,True,REGULAR,USD,call
GLD270917C00360000,2026-07-13 16:36:51+00:00,360.0,49.41,51.0,55.8,0.0,0.0,12.0,24,0.31319351364135745,True,REGULAR,USD,call
GLD270917C00365000,2026-07-15 18:43:40+00:00,365.0,51.39,48.5,52.95,-4.4900017,-8.035078,82.0,17,0.30980609634399414,True,REGULAR,USD,call
GLD270917C00370000,2026-07-14 18:08:51+00:00,370.0,48.32,45.5,50.2,0.0,0.0,1.0,21,0.3066170413208008,True,REGULAR,USD,call
GLD270917C00375000,2026-07-15 17:05:11+00:00,375.0,44.5,43.0,47.6,-2.6599998,-5.640373,4.0,8,0.3039010040283203,False,REGULAR,USD,call
GLD270917C00380000,2026-07-15 16:34:38+00:00,380.0,42.13,40.5,45.1,0.5300026,1.2740448,4.0,77,0.3013528117370606,False,REGULAR,USD,call
GLD270917C00385000,2026-07-08 14:26:59+00:00,385.0,41.45,38.1,42.7,0.0,0.0,1.0,16,0.29896483512878413,False,REGULAR,USD,call
GLD270917C00390000,2026-07-08 17:24:15+00:00,390.0,39.99,36.0,40.45,0.0,0.0,12.0,42,0.29703461761474603,False,REGULAR,USD,call
GLD270917C00395000,2026-07-13 15:38:44+00:00,395.0,33.8,34.0,38.3,0.0,0.0,21.0,43,0.29526461578369134,False,REGULAR,USD,call
GLD270917C00400000,2026-07-13 17:58:57+00:00,400.0,31.37,32.0,36.25,0.0,0.0,23.0,138,0.2936395709991455,False,REGULAR,USD,call
GLD270917C00405000,2026-07-13 15:38:41+00:00,405.0,29.9,30.0,34.3,0.0,0.0,17.0,253,0.29218237121582025,False,REGULAR,USD,call
GLD270917C00410000,2026-07-15 16:32:20+00:00,410.0,29.08,28.0,32.5,0.6800003,2.3943672,4.0,78,0.2912058184814452,False,REGULAR,USD,call
GLD270917C00415000,2026-07-15 16:31:54+00:00,415.0,27.45,26.5,30.8,0.8500004,3.1954901,80.0,92,0.29041236938476556,False,REGULAR,USD,call
GLD270917C00420000,2026-07-15 19:14:45+00:00,420.0,27.05,24.5,29.15,1.9599991,7.8118734,14.0,524,0.289496851196289,False,REGULAR,USD,call
GLD270917C00425000,2026-07-14 13:50:09+00:00,425.0,26.0,23.0,27.65,0.0,0.0,4.0,73,0.28911538528442376,False,REGULAR,USD,call
GLD270917C00430000,2026-07-15 16:36:37+00:00,430.0,22.68,21.5,26.25,-2.619999,-10.355726,12.0,390,0.28896279891967763,False,REGULAR,USD,call
GLD270917C00435000,2026-07-15 16:32:20+00:00,435.0,21.6,20.5,24.9,-3.3999996,-13.599998,4.0,9,0.28873391937255855,False,REGULAR,USD,call
GLD270917C00440000,2026-07-15 16:34:38+00:00,440.0,20.84,19.0,23.65,-2.8600006,-12.0675125,84.0,12,0.28876443664550777,False,REGULAR,USD,call
GLD270917C00445000,2026-07-09 16:06:38+00:00,445.0,22.3,17.5,22.5,0.0,0.0,2.0,4,0.28908486801147454,False,REGULAR,USD,call
GLD270917C00450000,2026-07-13 16:44:31+00:00,450.0,17.23,16.5,21.35,0.0,0.0,3.0,51,0.289046721420288,False,REGULAR,USD,call
GLD270917C00455000,2026-06-24 14:22:52+00:00,455.0,18.62,15.5,20.35,0.0,0.0,2.0,3,0.28967995483398434,False,REGULAR,USD,call
GLD270917C00460000,2026-07-08 14:20:28+00:00,460.0,17.28,14.5,19.35,0.0,0.0,1.0,4,0.2899698689270019,False,REGULAR,USD,call
GLD270917C00465000,2026-07-09 17:20:02+00:00,465.0,17.75,13.5,18.4,0.0,0.0,2.0,1,0.2902903002929687,False,REGULAR,USD,call
GLD270917C00470000,2026-06-25 14:27:59+00:00,470.0,16.0,13.0,17.5,0.0,0.0,1.0,3,0.29062599029541014,False,REGULAR,USD,call
GLD270917C00475000,2026-07-15 16:31:36+00:00,475.0,16.0,11.8,16.5,-0.049999237,-0.31152174,1.0,4,0.2898935757446288,False,REGULAR,USD,call
GLD270917C00480000,2026-07-08 17:24:54+00:00,480.0,13.97,11.15,16.0,0.0,0.0,3.0,5,0.29264013031005853,False,REGULAR,USD,call
