contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
GLD260814C00374000,2026-07-02 15:51:22+00:00,374.0,15.35,16.5,16.95,0.0,0.0,1,1,0.25287612365722656,True,REGULAR,USD,call
GLD260814C00375000,2026-07-06 19:31:17+00:00,375.0,16.11,15.85,16.3,2.0300007,14.417618,70,10,0.251411294555664,True,REGULAR,USD,call
GLD260814C00378000,2026-07-06 14:37:59+00:00,378.0,13.1,13.25,14.45,0.12000084,0.9245057,5,6,0.24768818725585937,True,REGULAR,USD,call
GLD260814C00380000,2026-07-06 19:31:17+00:00,380.0,13.1,12.85,13.3,1.6200008,14.111506,18,20,0.24564352996826172,True,REGULAR,USD,call
GLD260814C00381000,2026-07-06 19:10:55+00:00,381.0,12.49,12.15,12.75,1.2600002,11.219949,13,3,0.2447585290527344,True,REGULAR,USD,call
GLD260814C00382500,2026-07-06 16:57:32+00:00,382.5,11.34,11.5,11.9,0.94000053,9.038467,4,10,0.2424086990356445,False,REGULAR,USD,call
GLD260814C00384000,2026-07-06 19:25:01+00:00,384.0,10.88,10.75,11.15,1.2300005,12.7461195,6,2,0.24149318084716798,False,REGULAR,USD,call
GLD260814C00385000,2026-07-06 18:34:04+00:00,385.0,10.52,10.1,10.55,0.8000002,8.230454,1,2,0.23853300537109373,False,REGULAR,USD,call
GLD260814C00390000,2026-07-06 16:13:14+00:00,390.0,7.6,8.05,8.4,0.3499999,4.827585,13,5,0.23688507263183595,False,REGULAR,USD,call
GLD260814P00355000,2026-07-06 17:47:20+00:00,355.0,2.78,2.64,2.91,-1.2700002,-31.358028,16,5,0.2467116345214844,False,REGULAR,USD,put
GLD260814P00357500,2026-07-02 19:15:15+00:00,357.5,4.55,3.0,3.3,0.0,0.0,2,2,0.24323266540527344,False,REGULAR,USD,put
GLD260814P00360000,2026-07-06 19:06:22+00:00,360.0,3.59,3.4,3.7,-1.6099999,-30.961536,23,4,0.23871610900878903,False,REGULAR,USD,put
GLD260814P00362000,2026-07-06 15:31:01+00:00,362.0,4.2,3.8,4.05,-1.1300001,-21.200754,1,1,0.2350540362548828,False,REGULAR,USD,put
GLD260814P00363000,2026-07-02 16:05:13+00:00,363.0,4.6,4.0,4.35,-0.9300003,-16.817366,1,6,0.23609162353515623,False,REGULAR,USD,put
GLD260814P00364000,2026-07-02 13:33:28+00:00,364.0,5.91,4.2,4.55,0.0,0.0,3,3,0.23432162170410153,False,REGULAR,USD,put
GLD260814P00365000,2026-07-06 17:55:51+00:00,365.0,4.57,4.45,4.8,-2.02,-30.652504,11,4,0.23352817260742187,False,REGULAR,USD,put
GLD260814P00366000,2026-07-06 13:52:09+00:00,366.0,5.16,4.65,5.0,-1.4100003,-21.461191,3,3,0.2313004116821289,False,REGULAR,USD,put
GLD260814P00367000,2026-07-02 18:35:07+00:00,367.0,6.73,4.9,5.25,0.0,0.0,1,1,0.23004920349121094,False,REGULAR,USD,put
GLD260814P00369000,2026-07-02 19:06:55+00:00,369.0,7.63,5.45,5.8,0.0,0.0,9,9,0.22791299438476562,False,REGULAR,USD,put
GLD260814P00370000,2026-07-06 18:43:37+00:00,370.0,5.89,5.25,6.1,-2.3700004,-28.692497,12,6,0.22705851074218747,False,REGULAR,USD,put
GLD260814P00374000,2026-07-02 19:06:55+00:00,374.0,9.5,7.0,7.3,0.0,0.0,9,9,0.22089402160644528,False,REGULAR,USD,put
GLD260814P00375000,2026-07-06 17:35:26+00:00,375.0,7.7,7.35,7.75,-2.4000006,-23.76238,4,3,0.22184005706787108,False,REGULAR,USD,put
GLD260814P00377000,2026-07-02 13:53:53+00:00,377.0,9.95,8.1,8.5,0.0,0.0,1,1,0.21973436523437498,False,REGULAR,USD,put
GLD260814P00379000,2026-07-06 13:35:49+00:00,379.0,9.9,8.9,9.35,-1.0,-9.174313,13,2,0.21857470886230468,False,REGULAR,USD,put
GLD260814P00380000,2026-07-06 19:29:15+00:00,380.0,9.51,9.35,9.75,-2.79,-22.682926,31,1,0.21704884521484374,False,REGULAR,USD,put
GLD260814P00390000,2026-07-02 13:47:21+00:00,390.0,16.9,14.5,15.0,0.0,0.0,2,2,0.21070125244140625,True,REGULAR,USD,put
