contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
GLD260629C00385000,2026-06-18 20:10:25+00:00,385.0,7.38,7.15,7.75,-7.49,-50.369873,4,1,0.24817646362304688,True,REGULAR,USD,call
GLD260629C00387000,2026-06-18 20:09:12+00:00,387.0,6.16,5.95,6.35,-7.95,-56.34302,40,1,0.23462679443359374,True,REGULAR,USD,call
GLD260629C00388000,2026-06-18 20:12:05+00:00,388.0,5.63,5.4,5.8,-8.86,-61.145615,128,1,0.23212437805175778,False,REGULAR,USD,call
GLD260629C00389000,2026-06-18 18:58:27+00:00,389.0,5.22,4.9,5.35,-9.1,-63.547493,61,3,0.23236851623535154,False,REGULAR,USD,call
GLD260629C00390000,2026-06-18 19:26:23+00:00,390.0,4.43,4.45,4.85,-2.2000003,-33.182507,95,9,0.22980506530761718,False,REGULAR,USD,call
GLD260629C00391000,2026-06-18 19:08:50+00:00,391.0,3.96,4.0,4.4,-2.1999998,-35.714283,79,3,0.22809609802246095,False,REGULAR,USD,call
GLD260629C00392000,2026-06-18 19:16:24+00:00,392.0,3.6,3.55,3.95,-3.4,-48.57143,30,2,0.22541057800292968,False,REGULAR,USD,call
GLD260629C00393000,2026-06-18 19:45:34+00:00,393.0,3.6,3.2,3.55,-5.7500005,-61.49733,30,6,0.22357954162597654,False,REGULAR,USD,call
GLD260629C00394000,2026-06-18 18:17:28+00:00,394.0,3.4,2.85,3.2,-3.02,-47.040497,8,18,0.22278609252929685,False,REGULAR,USD,call
GLD260629C00395000,2026-06-18 20:02:08+00:00,395.0,2.7,2.54,2.9,-1.55,-36.47059,36,56,0.2230302307128906,False,REGULAR,USD,call
GLD260629C00396000,2026-06-18 16:09:57+00:00,396.0,2.9,2.25,2.61,-1.7999997,-38.297867,2,10,0.22272505798339842,False,REGULAR,USD,call
GLD260629C00397000,2026-06-17 16:04:42+00:00,397.0,3.85,1.97,2.3,-4.57,-54.27554,2,4,0.22052781433105467,False,REGULAR,USD,call
GLD260629C00398000,2026-06-18 17:42:20+00:00,398.0,2.21,1.73,2.11,-2.69,-54.897957,6,129,0.22284712707519527,False,REGULAR,USD,call
GLD260629C00399000,2026-06-18 20:01:04+00:00,399.0,1.67,1.52,1.88,-1.11,-39.92806,21,43,0.2224198852539062,False,REGULAR,USD,call
GLD260629C00400000,2026-06-18 20:14:37+00:00,400.0,1.5,1.34,1.67,-1.1800001,-44.029854,96,81,0.22199264343261715,False,REGULAR,USD,call
GLD260629C00401000,2026-06-18 17:54:00+00:00,401.0,1.64,1.16,1.48,-4.1600003,-71.724144,43,5,0.22168747070312497,False,REGULAR,USD,call
GLD260629C00403000,2026-06-17 18:27:27+00:00,403.0,3.05,0.9,1.21,0.0,0.0,41,19,0.22461712890624996,False,REGULAR,USD,call
GLD260629C00405000,2026-06-18 19:08:54+00:00,405.0,0.88,0.69,0.97,-3.27,-78.79518,25,22,0.2264481652832031,False,REGULAR,USD,call
GLD260629C00409000,2026-06-18 15:06:57+00:00,409.0,0.84,0.44,0.67,-2.1000001,-71.42857,1,4,0.2352371398925781,False,REGULAR,USD,call
GLD260629C00410000,2026-06-18 20:08:30+00:00,410.0,0.49,0.43,0.59,-0.51,-51.0,55,14,0.23535920898437498,False,REGULAR,USD,call
GLD260629C00415000,2026-06-18 17:41:48+00:00,415.0,0.38,0.26,0.4,-0.41000003,-51.89874,4,14,0.24976336181640624,False,REGULAR,USD,call
GLD260629C00420000,2026-06-18 16:17:11+00:00,420.0,0.28,0.16,0.36,-0.62,-68.88889,3,15,0.2771068383789062,False,REGULAR,USD,call
GLD260629C00433000,2026-06-16 16:17:37+00:00,433.0,0.36,0.06,0.34,0.0,0.0,5,5,0.3540103662109374,False,REGULAR,USD,call
GLD260629C00435000,2026-06-18 15:22:15+00:00,435.0,0.19,0.07,0.33,-0.099999994,-34.482758,3,8,0.3640200317382813,False,REGULAR,USD,call
GLD260629C00437000,2026-06-18 15:18:17+00:00,437.0,0.19,0.07,0.31,-0.09,-32.142857,1,6,0.3715883154296875,False,REGULAR,USD,call
GLD260629C00460000,2026-06-16 15:56:18+00:00,460.0,0.12,0.01,0.41,0.0,0.0,17,17,0.5200243310546875,False,REGULAR,USD,call
GLD260629P00345000,2026-06-17 19:07:03+00:00,345.0,0.29,0.25,0.43,-0.030000001,-9.375,6,4,0.3864807446289062,False,REGULAR,USD,put
GLD260629P00355000,2026-06-18 14:15:53+00:00,355.0,0.6,0.45,0.63,0.14000002,30.434786,8,15,0.33301448242187504,False,REGULAR,USD,put
GLD260629P00360000,2026-06-18 15:22:11+00:00,360.0,0.56,0.63,0.83,0.21000001,60.0,14,21,0.3107979077148437,False,REGULAR,USD,put
GLD260629P00365000,2026-06-18 18:10:14+00:00,365.0,0.94,0.93,1.14,0.45,91.83673,7,5,0.2906565075683593,False,REGULAR,USD,put
GLD260629P00370000,2026-06-18 19:40:41+00:00,370.0,1.5,1.26,1.64,-0.6400001,-29.906544,23,21,0.27368890380859373,False,REGULAR,USD,put
GLD260629P00372000,2026-06-17 18:53:23+00:00,372.0,0.99,1.56,1.96,0.0,0.0,1,2,0.27027096923828126,False,REGULAR,USD,put
GLD260629P00374000,2026-06-16 15:13:44+00:00,374.0,1.34,1.92,2.22,0.42000002,45.652172,1,1,0.2611157873535156,False,REGULAR,USD,put
GLD260629P00375000,2026-06-18 19:17:20+00:00,375.0,2.59,1.98,2.41,0.099999905,4.0160604,82,32,0.25867440551757814,False,REGULAR,USD,put
GLD260629P00376000,2026-06-18 19:18:44+00:00,376.0,2.42,2.16,2.59,1.48,157.4468,8,1,0.2551344018554688,False,REGULAR,USD,put
GLD260629P00379000,2026-06-18 13:30:46+00:00,379.0,2.16,2.83,3.3,0.8900001,70.07875,72,1,0.24799335998535155,False,REGULAR,USD,put
GLD260629P00380000,2026-06-18 19:26:23+00:00,380.0,3.9,3.1,3.55,0.03000021,0.77519923,63,31,0.24469749450683598,False,REGULAR,USD,put
GLD260629P00381000,2026-06-18 18:39:41+00:00,381.0,3.47,3.4,3.85,-0.74,-17.577196,14,12,0.24268335449218748,False,REGULAR,USD,put
GLD260629P00385000,2026-06-18 19:42:19+00:00,385.0,5.3,4.65,5.2,0.4000001,8.163267,103,143,0.23200230895996093,False,REGULAR,USD,put
GLD260629P00389000,2026-06-18 15:32:59+00:00,389.0,6.35,6.4,7.05,3.3899999,114.52702,6,18,0.22565471618652344,True,REGULAR,USD,put
GLD260629P00390000,2026-06-18 19:56:01+00:00,390.0,7.45,6.9,7.55,1.1299996,17.87974,42,22,0.2230302307128906,True,REGULAR,USD,put
GLD260629P00392000,2026-06-18 16:38:29+00:00,392.0,8.6,7.9,8.9,-0.059999466,-0.6928345,3,6,0.22815713256835937,True,REGULAR,USD,put
GLD260629P00394000,2026-06-16 13:48:56+00:00,394.0,4.35,9.2,10.15,0.0,0.0,2,28,0.22571575073242187,True,REGULAR,USD,put
GLD260629P00395000,2026-06-17 17:13:47+00:00,395.0,8.28,9.9,10.95,4.2799997,106.99999,9,20,0.23023230712890624,True,REGULAR,USD,put
GLD260629P00396000,2026-06-17 19:47:48+00:00,396.0,8.15,10.55,11.7,-2.4300003,-22.967867,1,139,0.23194127441406248,True,REGULAR,USD,put
