contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
GLD270319C00215000,2026-07-08 17:56:37+00:00,215.0,165.25,211.9,216.0,0.0,0.0,,3.0,0.6464268756103515,True,REGULAR,USD,call
GLD270319C00220000,2026-06-10 15:23:10+00:00,220.0,167.3,157.0,161.7,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,call
GLD270319C00225000,2026-07-14 17:09:37+00:00,225.0,152.85,201.95,206.5,0.0,0.0,,2.0,0.6173744317626955,True,REGULAR,USD,call
GLD270319C00235000,2026-06-04 19:56:21+00:00,235.0,185.09,0.0,0.0,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,call
GLD270319C00250000,2026-08-07 14:05:01+00:00,250.0,155.2,178.0,182.5,0.0,0.0,1.0,11.0,0.5553022985839844,True,REGULAR,USD,call
GLD270319C00260000,2026-06-05 14:02:00+00:00,260.0,151.15,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,call
GLD270319C00265000,2026-08-14 13:33:39+00:00,265.0,144.72,163.6,167.8,0.0,0.0,1.0,2.0,0.5152026019287108,True,REGULAR,USD,call
GLD270319C00270000,2026-03-17 14:51:37+00:00,270.0,203.47,185.25,189.25,0.0,0.0,1.0,2.0,0.893555751953125,True,REGULAR,USD,call
GLD270319C00275000,2026-06-30 19:00:09+00:00,275.0,105.5,154.1,158.15,0.0,0.0,2.0,23.0,0.5284776156616212,True,REGULAR,USD,call
GLD270319C00280000,2026-08-21 17:06:13+00:00,280.0,152.22,149.9,153.25,37.67,32.8852,2.0,10.0,0.5135241519165038,True,REGULAR,USD,call
GLD270319C00285000,2026-08-12 13:50:01+00:00,285.0,129.87,144.45,148.6,0.0,0.0,1.0,1.0,0.5028736236572267,True,REGULAR,USD,call
GLD270319C00290000,2026-07-16 13:55:58+00:00,290.0,88.2,139.7,143.9,0.0,0.0,1.0,42.0,0.49136861175537117,True,REGULAR,USD,call
GLD270319C00295000,2026-08-03 19:59:49+00:00,295.0,87.5,134.95,139.15,0.0,0.0,1.0,58.0,0.47900911621093745,True,REGULAR,USD,call
GLD270319C00300000,2026-08-20 19:19:31+00:00,300.0,124.01,130.3,134.45,0.0,0.0,1.0,142.0,0.4674430697631836,True,REGULAR,USD,call
GLD270319C00305000,2026-08-05 19:35:41+00:00,305.0,96.1,125.6,129.75,0.0,0.0,1.0,104.0,0.4558159887695313,True,REGULAR,USD,call
GLD270319C00310000,2026-08-21 13:50:20+00:00,310.0,120.7,120.95,125.1,16.149994,15.447148,1.0,57.0,0.4448602877807617,True,REGULAR,USD,call
GLD270319C00315000,2026-08-07 14:12:17+00:00,315.0,93.42,116.8,120.45,0.0,0.0,20.0,159.0,0.4338130349731446,True,REGULAR,USD,call
GLD270319C00320000,2026-08-19 19:04:03+00:00,320.0,103.6,111.7,115.85,0.0,0.0,1.0,18.0,0.42331509307861326,True,REGULAR,USD,call
GLD270319C00325000,2026-08-21 13:36:42+00:00,325.0,105.9,108.15,110.8,18.900002,21.72414,1.0,45.0,0.40689680023193364,True,REGULAR,USD,call
GLD270319C00330000,2026-08-21 18:48:20+00:00,330.0,105.15,103.6,106.4,10.450005,11.034852,10.0,46.0,0.39884024017333986,True,REGULAR,USD,call
GLD270319C00335000,2026-08-21 19:22:44+00:00,335.0,100.71,99.15,101.85,23.36,30.200388,1.0,41.0,0.38864747100830077,True,REGULAR,USD,call
GLD270319C00340000,2026-08-21 16:39:24+00:00,340.0,96.05,94.9,97.4,10.150002,11.816067,22.0,164.0,0.37946177185058594,True,REGULAR,USD,call
GLD270319C00345000,2026-08-21 14:42:44+00:00,345.0,88.49,90.4,92.3,7.6800003,9.503775,1.0,16.0,0.36260097854614254,True,REGULAR,USD,call
GLD270319C00350000,2026-08-21 17:12:17+00:00,350.0,87.7,86.1,88.45,10.049995,12.942685,10.0,192.0,0.35977813079833976,True,REGULAR,USD,call
GLD270319C00355000,2026-08-21 18:47:27+00:00,355.0,82.65,82.1,84.3,19.550003,30.982573,5.0,83.0,0.3530338134765625,True,REGULAR,USD,call
GLD270319C00360000,2026-08-21 16:48:51+00:00,360.0,79.15,77.8,80.25,8.950005,12.749295,5.0,476.0,0.3468693243408203,True,REGULAR,USD,call
GLD270319C00365000,2026-08-21 18:47:27+00:00,365.0,74.53,73.95,76.35,17.75,31.261007,6.0,34.0,0.34171190521240236,True,REGULAR,USD,call
GLD270319C00370000,2026-08-21 14:43:03+00:00,370.0,68.15,69.85,72.35,5.970001,9.60116,4.0,374.0,0.3350133638000488,True,REGULAR,USD,call
GLD270319C00375000,2026-08-21 17:12:06+00:00,375.0,68.15,66.0,67.9,8.850002,14.924119,7.0,175.0,0.3235846450805663,True,REGULAR,USD,call
