contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
GLD270331C00300000,2026-04-22 16:21:04+00:00,300.0,149.25,135.5,140.5,0.0,0.0,5.0,6,0.4348811395263672,True,REGULAR,USD,call
GLD270331C00310000,2026-04-28 14:02:30+00:00,310.0,125.0,126.5,131.25,0.0,0.0,1.0,9,0.41449560119628903,True,REGULAR,USD,call
GLD270331C00320000,2026-04-23 16:24:19+00:00,320.0,130.29,118.0,122.5,0.0,0.0,,11,0.39880972290039063,True,REGULAR,USD,call
GLD270331C00325000,2026-04-21 17:20:30+00:00,325.0,125.0,113.5,118.2,0.0,0.0,1.0,1,0.39145506011962883,True,REGULAR,USD,call
GLD270331C00330000,2026-04-29 19:10:43+00:00,330.0,106.2,109.0,114.0,0.0,0.0,1.0,2,0.3848022946166991,True,REGULAR,USD,call
GLD270331C00340000,2026-04-22 13:43:09+00:00,340.0,116.3,101.0,105.65,0.0,0.0,2.0,7,0.37126788406372074,True,REGULAR,USD,call
GLD270331C00345000,2026-04-21 19:49:47+00:00,345.0,107.18,97.0,101.6,0.0,0.0,,5,0.36519494674682623,True,REGULAR,USD,call
GLD270331C00350000,2026-04-30 13:33:31+00:00,350.0,96.77,93.0,97.6,7.669998,8.608303,1.0,88,0.35925933715820313,True,REGULAR,USD,call
GLD270331C00355000,2026-04-09 17:24:06+00:00,355.0,108.75,89.0,93.7,0.0,0.0,1.0,7,0.35384252120971676,True,REGULAR,USD,call
GLD270331C00360000,2026-04-17 14:11:20+00:00,360.0,108.5,85.0,89.8,0.0,0.0,1.0,2,0.348090015258789,True,REGULAR,USD,call
GLD270331C00365000,2026-04-30 15:05:51+00:00,365.0,83.81,81.05,86.0,4.8099976,6.0886045,2.0,8,0.34279526840209956,True,REGULAR,USD,call
GLD270331C00370000,2026-04-30 13:50:43+00:00,370.0,80.28,77.5,82.35,-17.550003,-17.939285,1.0,1,0.3382634533691406,True,REGULAR,USD,call
GLD270331C00375000,2026-04-28 14:05:00+00:00,375.0,73.0,74.0,78.7,0.0,0.0,3.0,9,0.33336543106079103,True,REGULAR,USD,call
GLD270331C00380000,2026-04-21 13:31:53+00:00,380.0,88.15,70.5,75.15,0.0,0.0,1.0,6,0.32881072807312006,True,REGULAR,USD,call
