contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
GLD260605C00250000,2026-05-11 19:00:20+00:00,250.0,184.6,162.75,165.05,0.0,0.0,,2,1.6347674511718748,True,REGULAR,USD,call
GLD260605C00285000,2026-05-15 15:53:15+00:00,285.0,132.77,127.8,130.45,0.0,0.0,4.0,4,0.92187578125,True,REGULAR,USD,call
GLD260605C00300000,2026-04-30 18:41:53+00:00,300.0,125.47,112.95,114.9,0.0,0.0,,1,1.0815475610351561,True,REGULAR,USD,call
GLD260605C00330000,2026-05-22 16:52:46+00:00,330.0,84.82,82.9,85.2,0.0,0.0,2.0,2,0.5293015820312501,True,REGULAR,USD,call
GLD260605C00335000,2026-05-22 16:59:48+00:00,335.0,79.98,77.95,80.1,0.0,0.0,4.0,1,0.7929708203125,True,REGULAR,USD,call
GLD260605C00340000,2026-05-22 16:59:48+00:00,340.0,75.04,74.1,75.75,0.0,0.0,2.0,11,0.7211941943359376,True,REGULAR,USD,call
GLD260605C00345000,2026-05-19 18:30:26+00:00,345.0,68.68,69.15,69.85,0.0,0.0,22.0,7,0.6020547607421877,True,REGULAR,USD,call
GLD260605C00350000,2026-05-20 13:38:11+00:00,350.0,62.89,63.0,65.8,0.0,0.0,,14,0.5405319384765627,True,REGULAR,USD,call
GLD260605C00355000,2026-05-22 13:37:54+00:00,355.0,60.87,58.4,60.1,0.11999893,0.1975291,1.0,3,0.6127968408203126,True,REGULAR,USD,call
GLD260605C00360000,2026-05-22 13:37:54+00:00,360.0,55.76,54.15,54.95,0.0,0.0,16.0,16,0.5500533276367189,True,REGULAR,USD,call
GLD260605C00365000,2026-05-21 13:37:29+00:00,365.0,48.32,49.2,50.1,0.0,0.0,16.0,13,0.5239305419921875,True,REGULAR,USD,call
